,PCA,Neighbors,Weights,P Integer,Mean CV Score,STD CV Score,Execution Time
229,None,191,uniform,2,0.7350012764871074,0.44133252774912257,250.4615969657898
230,4,147,distance,2,0.7732958897115139,0.41869960194248096,95.28399991989136
231,14,87,uniform,2,0.7605310186367118,0.4267594033271175,172.45253086090088
232,3,19,uniform,1,0.6484554505999489,0.4774525936542455,85.99100375175476
233,9,135,uniform,2,0.7503191217768701,0.43282829999071976,132.99152660369873
234,14,169,uniform,2,0.743936686239469,0.43645720650082853,172.7635304927826
235,9,123,distance,2,0.7653816696451365,0.4237600375405397,132.31552362442017
236,None,99,uniform,2,0.7567015573142711,0.4290737820846527,254.0665988922119
237,None,135,distance,1,0.7641051825376564,0.4245567718889326,255.10559248924255
238,15,149,distance,1,0.755935665049783,0.4295310644825648,179.7955298423767
239,2,57,uniform,1,0.6272657646157774,0.4835322379705013,80.18700075149536
240,8,181,distance,2,0.7597651263722236,0.427226028140635,126.09899973869324
241,3,17,uniform,1,0.6499872351289252,0.4769736148870087,85.96299934387207
242,7,27,uniform,1,0.779678325248915,0.4144635501295163,118.72500038146973
243,12,117,uniform,2,0.7528720959918305,0.4313417474215758,153.9665265083313
244,6,153,uniform,2,0.7551697727852948,0.4299864963655266,111.36999893188477
245,6,139,uniform,2,0.7546591779423028,0.4302890924596516,109.2789990901947
246,10,55,distance,1,0.7773806484554506,0.41600477865336316,140.3340036869049
247,4,103,uniform,1,0.7730405922900179,0.41886613012025237,94.4080011844635
248,23,69,uniform,1,0.7577227470002553,0.42846118339779904,240.4065284729004
249,22,57,distance,1,0.7656369670666326,0.42360004925358624,230.14352655410767
250,10,43,uniform,2,0.7801889200919071,0.4141185446918925,141.03000402450562
251,13,3,distance,1,0.7378095481235639,0.4398256686702884,160.34099698066711
252,17,119,distance,2,0.7595098289507276,0.4273811515239811,195.06799983978271
253,3,37,distance,1,0.6571355629308144,0.4746666355058211,86.24200057983398
254,7,57,uniform,1,0.7717641051825377,0.4196954504570363,117.36999940872192
255,10,91,distance,2,0.767934643860097,0.42215047864424243,140.73799920082092
256,17,85,uniform,2,0.7630839928516722,0.425190325272367,191.82800459861755
257,14,19,distance,2,0.7778912432984427,0.41566387490139883,170.13899993896484
258,20,177,uniform,1,0.7408731171815165,0.4381553850168447,212.62800407409668
259,17,161,uniform,1,0.7411284146030125,0.4380149400089427,190.82351660728455
260,None,5,uniform,1,0.7567015573142711,0.42907378208465263,251.2270429134369
261,23,17,uniform,2,0.7715088077610416,0.41986065225045527,240.31104278564453
262,23,195,distance,1,0.7480214449834056,0.43414900993592453,240.669043302536
263,8,33,distance,1,0.7809548123563952,0.41359931505477954,124.81852054595947
264,6,181,distance,2,0.7635945876946643,0.4248739734769358,109.61651659011841
265,1,139,uniform,2,0.5665049782997191,0.495557350728807,77.88251543045044
266,22,61,uniform,1,0.7574674495787592,0.42861464324893184,230.53151679039001
267,None,89,distance,2,0.7674240490171049,0.42247411519204,249.90804743766785
268,2,197,distance,2,0.6293081439877457,0.4829900660453012,81.73751711845398
269,8,141,distance,1,0.7661475619096247,0.42327942932484025,125.90551710128784
270,7,189,distance,2,0.7633392902731683,0.4250322554800095,119.65352129936218
271,17,97,uniform,1,0.7505744191983661,0.4326805524210691,191.26551699638367
272,6,177,distance,2,0.7641051825376564,0.42455677188893265,111.42751574516296
273,22,129,uniform,1,0.7472555527189175,0.4345856551356275,234.4785180091858
274,19,123,distance,2,0.7574674495787592,0.4286146432489318,207.38151359558105
275,4,165,distance,2,0.7722747000255298,0.4193643853810285,95.50751733779907
276,8,43,distance,2,0.7824865968853715,0.41255462981297597,127.7055172920227
277,3,87,distance,2,0.6581567526167986,0.4743273570032713,88.77251601219177
278,11,107,distance,2,0.7633392902731683,0.4250322554800095,150.24351692199707
279,1,15,uniform,1,0.5455705897370436,0.49791899075152574,77.7695152759552
280,22,87,distance,2,0.7669134541741128,0.4227968873831071,229.2305202484131
281,10,193,uniform,1,0.7401072249170283,0.43857555853312613,141.83451342582703
282,20,153,uniform,2,0.743681388817973,0.43659979471335514,219.5145173072815
283,None,51,distance,2,0.7740617819760021,0.41819868443138164,249.01151371002197
284,None,117,distance,1,0.7664028593311207,0.42311879719554313,252.14651679992676
285,19,129,uniform,1,0.7470002552974215,0.4347308062272659,206.28251266479492
286,21,119,uniform,1,0.749808526933878,0.43312319248814873,222.0025134086609
