,PCA,Max iter,Alpha,Power t,Layers,Solver,Learning Rate,Learning Rate Init,Mean CV Score,STD CV Score,Execution Time
177,15,6000,0.0001,0.5,"(6,)",sgd,constant,0.0001,0.7421514582844632,0.008827949860871516,430.2839980125427
178,6,200,1e-05,0.5,"(15,)",lbfgs,constant,0.001,0.7822220267417311,0.01904245807451019,537.8720002174377
179,3,6000,0.001,0.5,"(15,)",adam,constant,0.0005,0.6675978054056871,0.011713910315139886,90.55900120735168
180,10,6000,0.0001,0.5,"(12,)",sgd,invscaling,0.0001,0.24069415122370788,0.11799666219677699,5.766999244689941
181,None,5000,5e-05,0.5,"(12,)",sgd,invscaling,0.005,0.5391869966377355,0.030762845927633245,90.62899804115295
182,13,200,0.0005,0.5,"(12,)",sgd,constant,0.001,0.7712484035759898,0.009376179430225708,58.605998516082764
183,11,5000,1e-05,0.5,"(21,)",adam,constant,0.005,0.7962643678160919,0.013280861121166837,85.20800018310547
184,6,6000,5e-05,0.5,"(12,)",adam,constant,0.0001,0.7799257825735658,0.013740730130251188,182.03200030326843
185,5,5000,0.0001,0.5,"(24,)",sgd,adaptive,0.01,0.7873309093752443,0.012126911899983115,124.7760009765625
186,7,200,0.001,0.5,"(15,)",lbfgs,constant,0.001,0.7827341856282743,0.018026177291489223,434.9769949913025
187,8,200,0.0005,0.5,"(18,)",lbfgs,constant,0.001,0.7906508197148592,0.012795698195025124,574.6550006866455
188,9,5000,1e-05,0.5,"(24,)",sgd,invscaling,0.01,0.6586767273959392,0.04256912653555533,127.7370011806488
189,12,6000,5e-05,0.5,"(6,)",sgd,invscaling,0.0001,0.25552036906716713,0.18589611409857623,4.923996448516846
190,1,6000,0.0005,0.5,"(15,)",sgd,invscaling,0.01,0.5205567284385019,0.032844600321279484,28.040000200271606
191,6,6000,0.0005,0.5,"(15,)",sgd,constant,0.001,0.7796713321343862,0.012971140622383623,131.70799946784973
192,22,5000,0.001,0.5,"(9,)",sgd,adaptive,0.01,0.7921791513540282,0.017102414194326405,182.54399991035461
193,16,6000,1e-05,0.5,"(12,)",adam,constant,0.01,0.7970299997393593,0.01828577094348701,49.48299980163574
194,3,6000,0.0001,0.5,"(18,)",sgd,constant,0.0005,0.658402728907655,0.019579021204030878,112.2230007648468
195,3,5000,1e-05,0.5,"(6,)",sgd,invscaling,0.0001,0.2734146532176089,0.17730133028395628,4.908999681472778
196,18,6000,5e-05,0.5,"(15,)",sgd,invscaling,0.005,0.573882503192848,0.049787562302931396,141.6209979057312
197,20,6000,0.001,0.5,"(15,)",sgd,constant,0.0005,0.7743128860739699,0.007837624325674315,153.38399839401245
198,7,6000,1e-05,0.5,"(3,)",sgd,constant,0.01,0.7725239137800713,0.011086017434569601,52.669999837875366
199,23,5000,5e-05,0.5,"(3,)",sgd,constant,0.001,0.7725278233898922,0.005285423348598991,142.68600130081177
200,16,6000,5e-05,0.5,"(15,)",sgd,adaptive,0.01,0.7995823233507963,0.018728756363829386,189.50599694252014
201,9,6000,1e-05,0.5,"(6,)",sgd,invscaling,0.001,0.28918439023118825,0.12474670426410282,35.39199948310852
202,2,6000,5e-05,0.5,"(12,)",adam,constant,0.0005,0.5963803529074465,0.021112378068499787,190.39699935913086
203,22,5000,0.0005,0.5,"(6,)",sgd,invscaling,0.001,0.34875511507284906,0.18230868166027345,26.482000827789307
204,9,5000,1e-05,0.5,"(9,)",sgd,adaptive,0.0001,0.7503130945864935,0.013246525385130853,328.16299867630005
205,20,6000,1e-05,0.5,"(9,)",sgd,invscaling,0.001,0.3367851930044048,0.16339249605680725,56.11400008201599
206,13,5000,5e-05,0.5,"(9,)",sgd,adaptive,0.01,0.7916699246748508,0.013041878342590754,146.8990020751953
207,9,5000,1e-05,0.5,"(6,)",sgd,constant,0.01,0.7891182526650506,0.0107783901689923,125.7960000038147
208,23,5000,0.001,0.5,"(21,)",sgd,invscaling,0.0001,0.24740727708708005,0.12123351559032414,417.62400007247925
209,4,5000,0.001,0.5,"(21,)",sgd,invscaling,0.001,0.4299274115776579,0.11148468220655425,64.17300128936768
210,2,200,0.0005,0.5,"(24,)",sgd,constant,0.001,0.5746745249824067,0.00999886329584748,61.13700318336487
211,11,6000,0.0001,0.5,"(24,)",sgd,constant,0.001,0.7842677300805379,0.011523598067356934,159.38900017738342
212,10,6000,0.0001,0.5,"(6,)",adam,constant,0.001,0.78375654859645,0.013482172474104175,116.5849986076355
213,8,200,1e-05,0.5,"(15,)",sgd,constant,0.001,0.7697142075220893,0.014000868822376597,58.55399966239929
214,3,5000,1e-05,0.5,"(24,)",sgd,invscaling,0.0001,0.38956818359527723,0.029157673906691512,5.241995334625244
215,14,5000,5e-05,0.5,"(12,)",sgd,adaptive,0.001,0.7771190085229495,0.013553148387727124,146.44999957084656
216,12,6000,0.001,0.5,"(24,)",sgd,invscaling,0.0001,0.35411388693408397,0.0903353044434044,5.908999681472778
217,17,5000,0.0001,0.5,"(12,)",sgd,constant,0.005,0.7932037949279329,0.01405919731596922,193.0199933052063
218,8,6000,0.001,0.5,"(24,)",sgd,constant,0.001,0.7829902650715458,0.013203159843200245,148.40299916267395
219,12,6000,0.0005,0.5,"(18,)",sgd,constant,0.001,0.7824771287825475,0.019883827135724823,154.5209994316101
220,6,6000,1e-05,0.5,"(6,)",sgd,invscaling,0.0005,0.26502039513123254,0.10007319127455025,43.53499984741211
221,3,5000,1e-05,0.5,"(6,)",sgd,constant,0.0001,0.6438531159590273,0.013807539683707796,241.54799890518188
222,7,6000,1e-05,0.5,"(24,)",sgd,constant,0.005,0.787584708212787,0.01601221547068038,156.97500038146973
