PC,Criterion,Max Depth,Estimators,Mean CV Score,STD CV Score,Execution Time
None,entropy,9,98,0.795244937,0.01827209,12.59282327
None,entropy,15,106,0.794989183,0.018741679,15.15719938
None,entropy,14,100,0.79039246,0.019384472,14.31774402
None,entropy,9,105,0.793970404,0.016623664,13.82901239
None,entropy,12,106,0.794988532,0.018566955,15.31732965
None,entropy,10,97,0.794478979,0.015918189,13.69876075
None,entropy,9,102,0.79192633,0.019515985,13.87456203
None,entropy,15,93,0.793711067,0.018336696,13.43152952
None,entropy,9,103,0.792692288,0.017146783,13.28787255
None,entropy,11,108,0.793456942,0.021805686,14.64789414
None,entropy,12,97,0.791927633,0.012867294,13.41160822
None,entropy,15,97,0.789883559,0.015201835,13.87129235
None,entropy,14,102,0.79396682,0.017563989,14.42315316
None,entropy,9,92,0.791162327,0.014006528,11.4871881
None,entropy,11,108,0.795243308,0.019760229,14.75960398
None,entropy,10,94,0.790903967,0.018027573,12.82344413
None,entropy,15,90,0.793966495,0.022389382,13.26378059
None,entropy,13,101,0.787839484,0.019282012,15.12959695
None,entropy,10,110,0.793205098,0.017124931,15.3323667
None,entropy,14,95,0.794223226,0.017152082,14.39615583
None,entropy,15,104,0.7914158,0.015534658,15.80786133
None,entropy,11,104,0.791925027,0.01696108,15.02546263
None,entropy,11,107,0.795500039,0.018932781,15.61048841
None,entropy,12,95,0.794479957,0.019169993,15.05184245
None,entropy,11,101,0.794991464,0.014582639,15.71807003
None,entropy,14,92,0.795498736,0.014979108,15.1890769
None,entropy,10,100,0.794222574,0.02098421,15.12517738
None,entropy,13,105,0.792693917,0.01803415,16.91122627
None,entropy,14,110,0.795754815,0.018359367,18.21248007
None,entropy,9,107,0.791415148,0.020187887,15.69461751
None,entropy,14,97,0.789118253,0.016820542,14.98409677
None,entropy,11,93,0.796779459,0.016495231,11.32171416
None,entropy,15,104,0.791674812,0.009582668,11.7565515
None,entropy,13,110,0.794989509,0.019649785,12.52449751
None,entropy,13,98,0.791926004,0.015546016,11.31274033
None,entropy,10,104,0.791926982,0.017283189,12.19328356
None,entropy,11,93,0.793971056,0.011971992,11.4737196
None,entropy,10,98,0.793713999,0.019215912,11.66021991
None,entropy,14,96,0.79269131,0.017552605,12.20675898
None,entropy,13,98,0.796265345,0.016797937,12.03977299
None,entropy,11,90,0.791416777,0.016533437,10.50437069
None,entropy,10,108,0.791418081,0.017862158,12.26167035
None,entropy,10,102,0.794989509,0.019909128,11.80791593
None,entropy,9,106,0.795247543,0.016142811,12.29890108
None,entropy,15,102,0.794988532,0.017351378,13.70458984
None,entropy,14,104,0.796010895,0.017029957,13.68464446
None,entropy,12,108,0.795755793,0.017248007,13.61790133
None,entropy,13,107,0.791417755,0.01656415,13.2348485
None,entropy,15,90,0.792436208,0.019044484,11.05326486
